"filename", "language", "JSON", "TypeScript", "CSS", "HTML", "Markdown", "JavaScript", "comment", "blank", "total"
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\admin\panel\seasonadd\seasonadd.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\admin\panel\seasonadd\seasonadd.component.ts", "TypeScript", 0, 39, 0, 0, 0, 0, 1, 7, 47
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\admin\panel\seasonedit\seasonedit.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\admin\panel\seasonedit\seasonedit.component.html", "HTML", 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\admin\panel\seasonedit\seasonedit.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\admin\panel\seasonedit\seasonedit.component.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 5, 16
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\admin\panel\team-full-list\team-full-list.component.css", "CSS", 0, 0, 3, 0, 0, 0, 0, 0, 3
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\admin\panel\team-full-list\team-full-list.component.html", "HTML", 0, 0, 0, 22, 0, 0, 0, 6, 28
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\admin\panel\team-full-list\team-full-list.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\admin\panel\team-full-list\team-full-list.component.ts", "TypeScript", 0, 22, 0, 0, 0, 0, 0, 7, 29
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\admin\panel\upload-calendar-file\upload-calendar-file.component.css", "CSS", 0, 0, 4, 0, 0, 0, 0, 0, 4
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\admin\panel\upload-calendar-file\upload-calendar-file.component.html", "HTML", 0, 0, 0, 3, 0, 0, 0, 4, 7
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\admin\panel\upload-calendar-file\upload-calendar-file.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\admin\panel\upload-calendar-file\upload-calendar-file.component.ts", "TypeScript", 0, 16, 0, 0, 0, 0, 0, 5, 21
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\admin\players-manager\players-manager.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\admin\players-manager\players-manager.component.html", "HTML", 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\admin\players-manager\players-manager.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\admin\players-manager\players-manager.component.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 5, 16
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\admin\season-manager\season-manager.component.css", "CSS", 0, 0, 6, 0, 0, 0, 0, 2, 8
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\admin\season-manager\season-manager.component.html", "HTML", 0, 0, 0, 52, 0, 0, 1, 10, 63
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\admin\season-manager\season-manager.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\admin\season-manager\season-manager.component.ts", "TypeScript", 0, 60, 0, 0, 0, 0, 0, 15, 75
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\admin\teams-manager\teams-manager.component.css", "CSS", 0, 0, 10, 0, 0, 0, 0, 2, 12
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\admin\teams-manager\teams-manager.component.html", "HTML", 0, 0, 0, 42, 0, 0, 0, 9, 51
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\admin\teams-manager\teams-manager.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\admin\teams-manager\teams-manager.component.ts", "TypeScript", 0, 55, 0, 0, 0, 0, 0, 11, 66
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\admin\users-manager\users-manager.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\admin\users-manager\users-manager.component.html", "HTML", 0, 0, 0, 1, 0, 0, 0, 1, 2
